source	lines	public_declarations	direct_test_importers
compiler/std/io/io.dyn	304	22	tests/io-print,tests/memory-runtime,tests/parser,tests/sdk-api-contracts,tests/sdk-archive,tests/sdk-boundaries,tests/sdk-bufio,tests/sdk-cli,tests/sdk-data,tests/sdk-depth,tests/sdk-foundation,tests/sdk-hardening,tests/sdk-lifetimes,tests/sdk-storage-contracts,tests/sdk-system,tests/sdk-template,tests/sdk-web,tests/sdk-zstd,tests/source-map,tests/stdlib-contracts,tests/stdlib-io,tests/stdlib-runtime,tests/terminal-print,tests/terminal-progress
compiler/std/log/log.dyn	37	5	tests/sdk-cli,tests/stdlib-contracts,tests/stdlib-io
compiler/std/math/math.dyn	68	14	tests/sdk-foundation,tests/stdlib-core-extra
compiler/std/mem/linux.dyn	7	0	tests/json-dom,tests/memory-runtime,tests/owned-arenas,tests/process-arguments,tests/process-platform,tests/release-native,tests/sdk-api-contracts,tests/sdk-boundaries,tests/sdk-buffer-contracts,tests/sdk-collections,tests/sdk-data,tests/sdk-lifetimes,tests/sdk-mem,tests/sdk-pool-alignment,tests/sdk-process,tests/sdk-storage-contracts,tests/sdk-system,tests/sdk-template,tests/sdk-tls,tests/sdk-tls-native,tests/sdk-zstd,tests/selfhost-runtime,tests/stdlib-app,tests/stdlib-contracts,tests/stdlib-mem-extra,tests/stdlib-os-expanded,tests/stdlib-process,tests/stdlib-runtime,tests/stdlib-str,tests/target-macos-platform,tests/target-windows-platform,tests/vendor-packages/abi,tests/vendor-packages/curl
compiler/std/mem/macos.dyn	7	0	tests/json-dom,tests/memory-runtime,tests/owned-arenas,tests/process-arguments,tests/process-platform,tests/release-native,tests/sdk-api-contracts,tests/sdk-boundaries,tests/sdk-buffer-contracts,tests/sdk-collections,tests/sdk-data,tests/sdk-lifetimes,tests/sdk-mem,tests/sdk-pool-alignment,tests/sdk-process,tests/sdk-storage-contracts,tests/sdk-system,tests/sdk-template,tests/sdk-tls,tests/sdk-tls-native,tests/sdk-zstd,tests/selfhost-runtime,tests/stdlib-app,tests/stdlib-contracts,tests/stdlib-mem-extra,tests/stdlib-os-expanded,tests/stdlib-process,tests/stdlib-runtime,tests/stdlib-str,tests/target-macos-platform,tests/target-windows-platform,tests/vendor-packages/abi,tests/vendor-packages/curl
compiler/std/mem/mem.dyn	413	46	tests/json-dom,tests/memory-runtime,tests/owned-arenas,tests/process-arguments,tests/process-platform,tests/release-native,tests/sdk-api-contracts,tests/sdk-boundaries,tests/sdk-buffer-contracts,tests/sdk-collections,tests/sdk-data,tests/sdk-lifetimes,tests/sdk-mem,tests/sdk-pool-alignment,tests/sdk-process,tests/sdk-storage-contracts,tests/sdk-system,tests/sdk-template,tests/sdk-tls,tests/sdk-tls-native,tests/sdk-zstd,tests/selfhost-runtime,tests/stdlib-app,tests/stdlib-contracts,tests/stdlib-mem-extra,tests/stdlib-os-expanded,tests/stdlib-process,tests/stdlib-runtime,tests/stdlib-str,tests/target-macos-platform,tests/target-windows-platform,tests/vendor-packages/abi,tests/vendor-packages/curl
compiler/std/mem/windows.dyn	15	0	tests/json-dom,tests/memory-runtime,tests/owned-arenas,tests/process-arguments,tests/process-platform,tests/release-native,tests/sdk-api-contracts,tests/sdk-boundaries,tests/sdk-buffer-contracts,tests/sdk-collections,tests/sdk-data,tests/sdk-lifetimes,tests/sdk-mem,tests/sdk-pool-alignment,tests/sdk-process,tests/sdk-storage-contracts,tests/sdk-system,tests/sdk-template,tests/sdk-tls,tests/sdk-tls-native,tests/sdk-zstd,tests/selfhost-runtime,tests/stdlib-app,tests/stdlib-contracts,tests/stdlib-mem-extra,tests/stdlib-os-expanded,tests/stdlib-process,tests/stdlib-runtime,tests/stdlib-str,tests/target-macos-platform,tests/target-windows-platform,tests/vendor-packages/abi,tests/vendor-packages/curl
compiler/std/net/dns/dns.dyn	282	9	tests/net-protocol,tests/sdk-hardening
compiler/std/net/http/concurrent/concurrent.dyn	99	5	tests/sdk-http-workers
compiler/std/net/http/http.dyn	727	54	tests/net-protocol,tests/sdk-hardening,tests/sdk-http-workers,tests/sdk-web
compiler/std/net/linux_aarch64.dyn	17	1	tests/net-event-aarch64,tests/net-protocol,tests/sdk-http-workers,tests/stdlib-app,tests/stdlib-net-event,tests/stdlib-system
compiler/std/net/linux_x86_64.dyn	8	1	tests/net-event-aarch64,tests/net-protocol,tests/sdk-http-workers,tests/stdlib-app,tests/stdlib-net-event,tests/stdlib-system
compiler/std/net/net.dyn	408	84	tests/net-event-aarch64,tests/net-protocol,tests/sdk-http-workers,tests/stdlib-app,tests/stdlib-net-event,tests/stdlib-system
compiler/std/net/tls/tls.dyn	76	29	tests/sdk-tls,tests/sdk-tls-native,tests/stdlib-tls
compiler/std/net/url/url.dyn	115	6	tests/sdk-boundaries,tests/sdk-data,tests/stdlib-data,tests/stdlib-foundation
compiler/std/net/websocket/websocket.dyn	430	22	tests/sdk-web,tests/websocket
compiler/std/os/linux/aarch64.dyn	2	0	tests/environment,tests/environment-contracts,tests/process-arguments,tests/sdk-system,tests/stdlib-app,tests/stdlib-net-event,tests/stdlib-os-expanded,tests/stdlib-process,tests/stdlib-runtime,tests/stdlib-system,tests/vendor-packages/abi,tests/vendor-packages/curl
compiler/std/os/linux/linux.dyn	277	30	tests/environment,tests/environment-contracts,tests/process-arguments,tests/sdk-system,tests/stdlib-app,tests/stdlib-net-event,tests/stdlib-os-expanded,tests/stdlib-process,tests/stdlib-runtime,tests/stdlib-system,tests/vendor-packages/abi,tests/vendor-packages/curl
compiler/std/os/linux/x86_64.dyn	2	0	tests/environment,tests/environment-contracts,tests/process-arguments,tests/sdk-system,tests/stdlib-app,tests/stdlib-net-event,tests/stdlib-os-expanded,tests/stdlib-process,tests/stdlib-runtime,tests/stdlib-system,tests/vendor-packages/abi,tests/vendor-packages/curl
compiler/std/os/macos/macos.dyn	39	11	tests/target-macos-platform
compiler/std/os/os.dyn	7	4	tests/selfhost-runtime
compiler/std/os/windows/windows.dyn	79	14	tests/target-windows-platform
compiler/std/path/path.dyn	164	13	tests/path-contracts,tests/sdk-boundaries,tests/sdk-system,tests/stdlib-app,tests/stdlib-os-expanded
compiler/std/process/linux.dyn	44	0	tests/process-platform,tests/sdk-process,tests/sdk-storage-contracts
compiler/std/process/macos.dyn	125	0	tests/process-platform,tests/sdk-process,tests/sdk-storage-contracts
compiler/std/process/process.dyn	107	16	tests/process-platform,tests/sdk-process,tests/sdk-storage-contracts
compiler/std/process/windows.dyn	188	0	tests/process-platform,tests/sdk-process,tests/sdk-storage-contracts
compiler/std/profile/profile.dyn	46	8	tests/sdk-depth,tests/stdlib-profile
compiler/std/progress/progress.dyn	21	7	tests/sdk-cli
compiler/std/rand/rand.dyn	29	5	tests/sdk-foundation,tests/stdlib-foundation
compiler/std/reflect/reflect.dyn	50	7	tests/sdk-tools,tests/stdlib-reflect
compiler/std/semver/semver.dyn	160	6	tests/sdk-foundation
compiler/std/sort/sort.dyn	64	5	tests/sdk-foundation,tests/stdlib-core-extra
compiler/std/strings/strings.dyn	456	42	tests/path-contracts,tests/sdk-api-contracts,tests/sdk-boundaries,tests/sdk-buffer-contracts,tests/sdk-data,tests/sdk-depth,tests/sdk-foundation,tests/sdk-system,tests/stdlib-cli,tests/stdlib-foundation,tests/stdlib-str,tests/stdlib-testing,tests/stdlib-text-extra,tests/vendor-packages/curl
compiler/std/sync/sync.dyn	106	33	tests/release-concurrency,tests/sdk-http-workers,tests/sdk-tools,tests/stdlib-thread,tests/thread-aarch64
compiler/std/terminal/terminal.dyn	124	13	tests/memory-runtime,tests/source-map,tests/stdlib-io,tests/stdlib-os-expanded,tests/stdlib-runtime,tests/stdlib-system,tests/terminal-print,tests/terminal-progress
compiler/std/testing/property.dyn	49	3	tests/assert-message,tests/environment-contracts,tests/sdk-boundaries,tests/sdk-property,tests/sdk-temporary,tests/sdk-tools,tests/sdk-watch,tests/stdlib-app,tests/stdlib-dynlib,tests/stdlib-net-event,tests/stdlib-profile,tests/stdlib-testing,tests/stdlib-tls
